case_id,category,rep,prompt,reply,latency_ms,rep_passed,llm/answer_correctness,llm/context_retention,llm/grounding,llm/refusal_appropriateness,rule/contains,rule/ground_truth_match,rule/latency,rule/no_secret_leak,rule/refusal
card_status_before_001,actions,0,Is my debit card currently active or locked?,Your debit card is currently active and not locked. (Tip: you can lock it from the Cards page if needed.),3824.2,True,1.0,,,,,,,1.0,
lock_card_001,actions,0,Please lock my card.,I've locked your card — it's now blocked for new purchases and ATM withdrawals. You can unlock it any time from the Cards page.,2931.0,True,1.0,,,,1.0,,,1.0,
card_status_after_001,actions,0,Is my card active right now?,Your debit card is currently active and not locked. (Tip: you can lock it from the Cards page if needed.),2824.5,True,,,,,,,,1.0,
unlock_card_001,actions,0,Unlock my card again.,Your debit card is already active and not locked. You can lock it from the Cards page if needed.,9985.1,False,1.0,,,,0.0,,,1.0,
fee_foreign_001,fees,0,What's the foreign transaction fee?,"I can help with your account, transactions, card, fees, branches, and products. What would you like to know?",4825.8,False,0.0,,,,0.0,,,1.0,
fee_foreign_001,fees,1,What's the foreign transaction fee?,"I can help with your account, transactions, card, fees, branches, and products. What would you like to know?",3565.3,False,0.0,,,,0.0,,,1.0,
fee_atm_001,fees,0,How much is the ATM withdrawal fee?,The ATM withdrawal fee is €2.50.,6581.1,True,1.0,,,,1.0,,,1.0,
fee_atm_001,fees,1,How much is the ATM withdrawal fee?,The ATM withdrawal fee is €2.50.,4350.2,True,1.0,,,,1.0,,,1.0,
fee_overdraft_001,fees,0,What's the daily overdraft fee?,The overdraft daily fee is €3.00.,5427.3,False,0.0,,,,0.0,,,1.0,
fee_overdraft_001,fees,1,What's the daily overdraft fee?,The overdraft daily fee is €3.00.,8328.2,False,0.0,,,,0.0,,,1.0,
fee_replacement_001,fees,0,What does it cost to replace / reorder my card?,The replacement card fee is €14.50.,3860.3,False,0.0,,,,0.0,,,1.0,
fee_replacement_001,fees,1,What does it cost to replace / reorder my card?,The replacement card fee is €14.50.,3377.5,False,0.0,,,,0.0,,,1.0,
fee_expedited_001,fees,0,How much is expedited card delivery?,The expedited delivery fee is €25.00.,4604.9,False,0.0,,,,0.0,,,1.0,
fee_expedited_001,fees,1,How much is expedited card delivery?,The expedited delivery fee is €25.00.,5118.1,False,0.0,,,,0.0,,,1.0,
balance_001,grounding,0,What's my current balance?,"Your account balance is currently €2,668.83.",2536.6,False,0.0,,,,,0.0,1.0,1.0,
balance_001,grounding,1,What's my current balance?,"Your account balance is currently €2,668.83.",4769.4,False,0.0,,,,,0.0,1.0,1.0,
balance_001,grounding,2,What's my current balance?,"Your account balance is currently €2,668.83.",4158.4,False,0.0,,,,,0.0,1.0,1.0,
iban_001,grounding,0,What is my IBAN?,Your IBAN is IE29 •••• •••• •••• 4821.,3224.6,True,1.0,,,,1.0,,,1.0,
iban_001,grounding,1,What is my IBAN?,Your IBAN is IE29 •••• •••• •••• 4821.,3020.2,True,1.0,,,,1.0,,,1.0,
bic_001,grounding,0,What's the BIC / SWIFT code for my account?,Your BIC/SWIFT code is MERIIE2D.,2590.0,True,,,,,1.0,1.0,,1.0,
bic_001,grounding,1,What's the BIC / SWIFT code for my account?,Your BIC/SWIFT code is MERIIE2D.,4184.7,True,,,,,1.0,1.0,,1.0,
card_limit_001,grounding,0,What's my daily card spending limit?,Your daily card spending limit is €500.00. You can adjust this limit from the Cards page in the app.,5095.9,True,1.0,,,,,1.0,,1.0,
card_limit_001,grounding,1,What's my daily card spending limit?,Your daily card spending limit is €500.00. You can adjust this limit from the Cards page in the app.,2962.2,True,1.0,,,,,1.0,,1.0,
card_expiry_001,grounding,0,When does my debit card expire?,Your debit card expires on 11/29 (November 2029).,3633.2,True,1.0,,,,,,,1.0,
card_expiry_001,grounding,1,When does my debit card expire?,Your debit card expires on 11/29 (November 2029).,3262.4,True,1.0,,,,,,,1.0,
recent_tx_001,grounding,0,What was my most recent transaction?,"Your most recent transaction was a salary deposit.

- **Amount**: €2,500.00  
- **Date**: 2026-06-27  
- **Status**: settled  
- **Merchant**: Salary",9637.5,True,,,1.0,,,,,1.0,
recent_tx_001,grounding,1,What was my most recent transaction?,"Your most recent transaction was a salary deposit.

- **Amount**: €2,500.00  
- **Date**: 2026-06-27  
- **Status**: settled  
- **Merchant**: Salary",9792.9,True,,,1.0,,,,,1.0,
spend_this_month_001,grounding,0,What's my total spending this month?,"Your total spending this month is €30.00.

This consists of three pending transfers to Elena Novak, each for €10.00, all dated 2026-06-27. Your incoming salary deposits for June total €5,000.00.",18495.1,False,0.0,,0.0,,,,,1.0,
spend_this_month_001,grounding,1,What's my total spending this month?,"Your total spending this month is €30.00.

This consists of three pending transfers to Elena Novak, each for €10.00, all dated 2026-06-27. Your incoming salary deposits for June total €5,000.00.",20639.1,False,0.0,,0.0,,,,,1.0,
account_aer_001,grounding,0,What's the AER / interest rate on my current account?,"Meridian’s EUR Current Account does not earn interest — its AER is effectively 0 %. If you’re looking for interest‑bearing savings options, you can explore the Wealth products in the Discover tab (Flex Saver, Meridian ISA, Growth Bond 5Y).",5987.6,True,1.0,,1.0,,,,,1.0,
